0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0.73199,0.24404,1.3334,-13.667,0.030779,0.16258,0.36614,3.9269,0.26801,0.16814,0.22212,0.042099,0.16258,1616.1,0.22585,1.3661,0.16258,0.041403,35.681,0.0,0.16764,0.041408,0.16258,0.19338,0.22588,30.15,10.172,4.6597,0.1864,0.04274,71.066,5.1361,5.1359,0.16747,3.9269,0.0,0.26801,0.042646,0.003798,0.14321,0.04269,90.46,54.779,0.42359,0.80895,37.27,0.1649,0.041993,1.3334,0.73197,0.1947,11.171,11.171,11148.0,0.042646,0.60671,0.95862,0.0,10.23,6.6631,68.035,5.3649,163.67,0.0
0.33424,0.32818,1.9866,21.087,0.47432,0.17771,1.8911,1.2278,0.63209,0.17771,0.53423,0.12239,0.17771,548.09,0.66595,2.9919,0.17771,0.097718,48.118,1.1484,0.18273,0.097718,0.47432,0.63209,0.66595,1.2337,0.96761,4.6844,0.17901,0.097718,81.973,4.4527,0.5467,0.18273,1.8242,265.36,0.63368,0.10048,0.039059,0.04828,0.10048,130.02,81.904,0.74125,1.2658,59.079,0.13786,0.075802,1.9771,0.33265,0.22458,1.8637,1.8683,15869.0,0.18554,0.28115,0.81446,0.002511,7.5856,4.4564,66.763,5.4671,5.3621,0.0
0.15336,0.44865,4.9385,90.624,0.77757,0.41162,5.5068,1.3536,0.8445,0.41162,3.6134,0.27356,0.41162,125.9,2.8992,6.5208,0.41162,0.25327,33.468,1.2996,0.44056,0.25327,0.77757,0.8445,2.8992,3.6692,1.0257,4.0835,0.002402,0.25327,34.63,10.54,2.8728,0.44056,1.6738,10.485,0.88394,0.27107,1.3618,0.010647,0.27107,91.503,58.035,2.7621,3.6303,45.302,0.40758,0.25078,3.6684,0.11392,0.094876,1.9306,2.0208,5437.6,0.26123,0.48741,0.73877,0.046703,10.906,6.2894,25.583,14.267,3.7154,0.0
0.27636,0.42541,4.0164,86.247,0.30085,0.1409,2.4582,1.1312,0.67934,0.1409,0.99904,0.19577,0.1409,405.62,0.89987,3.6185,0.1409,0.11092,51.718,1.1225,0.16065,0.089319,0.37609,0.67934,0.80058,1.4306,0.98122,4.178,0.19534,0.11092,45.842,7.9621,0.5813,0.16065,1.2871,2.8558,0.81467,0.12647,0.21587,0.033847,0.12647,154.02,102.3,0.63036,2.7402,58.505,0.052861,0.041614,2.0497,0.14103,0.12559,1.5669,1.879,6409.1,0.116,0.16701,0.884,0.1992,7.0574,3.568,40.525,9.0069,2.9299,0.0
0.80406,0.17634,1.2785,-42.566,0.0,0.13126,0.24369,2.875,0.19594,0.15225,0.20731,0.057234,0.13126,1783.5,0.20465,1.2437,0.13126,0.045655,62.348,0.0,0.14211,0.045655,0.13126,0.14239,0.20465,6.7699,0.92573,4.1737,0.27519,0.046605,84.915,4.2984,3.3848,0.15343,2.875,2.4741,0.32464,0.053367,0.025239,0.15281,0.049429,100.74,38.395,0.26728,0.50288,65.863,0.10882,0.03785,1.0068,0.63317,0.23264,1.0286,1.7042,2630.8,0.053367,0.6699,0.95456,0.65682,5.8542,9.5066,80.384,4.5407,15.093,0.0
3.1863,-1.385,0.33728,-89.623,-4.0399,-1.5229,-0.68615,7.0338,-2.1863,-1.5229,-0.72866,-0.21651,-1.5229,-763.69,-0.47794,0.31385,-1.5229,-0.21651,12.626,0.83042,0.0,-0.21651,-1.4834,-5.5628,-0.47794,0.0,-4.6935,2.7694,0.44342,-0.43301,116.63,3.1296,2.0528,0.049864,7.0338,0.42366,-1.0967,0.007089,0.032234,0.0,0.0,33.083,20.457,-6.259,0.22086,13.577,0.0,0.0,0.22123,2.0899,0.31952,-7.4086,-3.7165,-814.46,0.070091,0.69655,0.92992,-0.49835,28.909,17.842,108.45,3.3655,23.835,0.0
0.067019,0.64903,10.684,141.86,0.29989,0.15435,12.771,1.1329,0.85591,0.15435,2.303,0.17739,0.15435,117.34,3.1106,14.921,0.15435,0.13134,80.48,1.1953,0.1395,0.088098,0.45167,0.85591,2.3524,1.3448,2.2857,4.4149,-0.21595,0.13134,23.581,15.478,2.0815,0.1395,1.2007,0.0,0.85591,0.1187,4.8236,0.01138,0.1187,121.99,41.512,0.39955,6.8179,91.174,0.085376,0.072648,10.684,0.067019,0.064606,3.0143,3.0143,16871.0,0.1173,0.12096,0.8827,0.0,4.5353,8.7926,20.815,17.535,4.1386,0.0
1.1461,0.25141,1.3989,-3.4147,-0.1885,0.031761,-0.12747,1.3767,-0.14609,0.11313,0.050394,0.031061,0.031761,9782.9,0.03731,0.87253,0.031761,0.023071,69.572,0.0,0.036222,0.023071,0.031761,-0.15664,0.03731,0.44518,2.1243,3.676,0.82483,0.041404,168.3,2.1688,1.1926,0.009821,1.3767,1.251,0.3489,0.007134,0.019731,0.80901,0.026311,230.46,160.89,0.12104,0.98255,70.072,0.025223,0.018321,0.76927,0.63024,0.46109,-1.2344,2.9481,1192.4,0.007133,-0.2174,0.97878,-3.3882,5.2464,2.2687,167.1,2.1844,11.633,0.0
0.47995,0.1396,1.502,-21.723,0.0,0.11212,1.0836,2.1035,0.52005,0.1316,0.40316,0.065161,0.11212,1278.1,0.28559,2.0836,0.11212,0.053303,43.416,1.1327,0.1316,0.044576,0.21193,0.28781,0.24734,6.7574,0.23975,3.9351,0.22118,0.059437,49.103,7.4333,4.3073,0.036237,2.1035,1.7426,0.61617,0.017227,0.098267,0.1022,0.06256,67.739,24.323,0.37476,0.60229,44.177,0.10665,0.050702,0.87033,0.27811,0.13453,0.89312,1.0582,1202.2,0.017227,0.1803,0.94913,0.18483,8.4071,15.006,48.257,7.5636,3.6125,0.0
0.085217,0.35698,5.1891,67.923,0.004272,0.002413,9.4525,0.99305,0.80551,0.002413,0.02831,0.060131,0.002413,538.25,0.67813,11.735,0.002413,0.00251,70.001,1.1894,0.007401,0.000747,0.018817,0.80551,0.65824,0.076472,0.63998,4.1468,-0.042984,0.00251,32.14,11.356,0.086845,0.007401,0.98799,0.0,0.80551,0.007701,1.4909,0.044629,0.007701,119.69,49.691,0.003896,3.0263,69.515,-0.047975,-0.04992,5.1891,0.085217,0.088056,1.4441,1.4441,5006.0,-0.007,0.000891,1.007,0.0,5.2142,7.3454,32.365,11.277,1.7229,0.0
0.33149,0.48133,3.3714,30.207,0.26679,0.38877,2.0167,3.131,0.66851,0.41404,1.9154,0.14444,0.38877,267.54,1.3643,3.0167,0.38877,0.12417,29.635,1.0211,0.41146,0.12417,0.67503,0.66698,1.3643,16.279,1.5247,4.1177,0.015221,0.1282,27.009,13.514,8.2746,0.38805,3.131,0.0,0.66851,0.12394,1.4097,0.023265,0.13141,46.418,16.783,1.5293,2.119,33.828,0.34797,0.11114,2.0643,0.20297,0.073997,2.1175,2.1175,6311.5,0.12394,0.58155,0.87701,0.0,12.316,21.748,23.661,15.426,9.9177,0.0
0.086805,0.55907,8.1225,378.82,0.35649,0.13303,10.446,1.2817,0.90675,0.13303,1.6949,0.29378,0.13303,191.59,1.9051,11.52,0.13303,0.23633,82.322,1.317,0.11568,0.22572,0.37778,0.90675,1.8362,2.6339,1.5425,4.4365,-0.51535,0.23633,65.232,5.5954,1.3327,0.11568,0.58563,61.424,0.91506,0.20551,4.8524,0.019281,0.20551,166.44,84.117,1.0008,6.5051,105.51,0.083346,0.14806,7.3447,0.078492,0.17872,2.5018,2.5247,15275.0,0.21977,0.14013,0.78023,0.009168,4.4338,4.3392,50.896,7.1715,1.5531,0.0
0.51787,0.32752,1.7326,21.168,0.0,0.059153,0.93099,3.0136,0.48213,0.067546,0.13232,0.019629,0.059153,3195.5,0.11422,1.931,0.059153,0.019629,22.086,1.768,0.0,0.019629,0.1018,0.14032,0.11422,0.0,1.4527,3.5512,0.12949,0.050373,68.857,5.3008,4.5758,0.062075,3.0136,0.0,0.48213,0.020598,0.29855,0.0,0.0,77.647,55.561,0.32438,1.3247,28.088,0.0,0.0,1.4957,0.44704,0.18865,2.1385,2.1385,1165.2,0.21368,0.12269,0.78918,0.0,16.526,6.5694,54.144,6.7413,13.367,0.0
0.52227,0.23359,1.6687,-21.992,0.28697,0.1423,0.89451,1.0768,0.46718,0.1423,0.40735,0.084642,0.1423,1108.4,0.3293,1.9147,0.1423,0.07003,61.608,1.2798,0.15452,0.05659,0.35748,0.46718,0.27701,0.81886,0.56004,5.3752,0.2566,0.07003,67.571,5.4017,0.29585,0.15452,2.0526,1.3874,0.64013,0.076044,0.014239,0.093215,0.076044,103.82,42.209,0.33527,0.68689,66.341,0.12483,0.061433,1.1161,0.34932,0.18513,1.1201,1.5348,55419.0,0.071343,0.24613,0.92866,0.3702,5.9246,8.6475,62.75,5.8167,4.8716,0.0
0.80801,0.065231,1.1368,-9.4502,0.0,0.07897,0.2376,2.3789,0.19199,0.10847,0.16556,0.046746,0.07897,2652.1,0.13763,1.2376,0.07897,0.033196,15.85,0.0,0.10845,0.033196,0.07897,0.07897,0.13763,3.6762,0.14249,3.4109,0.33965,0.045597,77.223,4.7266,2.7902,0.12444,2.3789,1.3259,0.52302,0.052309,0.042478,0.19144,0.045589,80.083,64.233,0.76443,0.92017,16.725,0.076217,0.032038,0.67104,0.47698,0.21157,0.41938,1.1425,168.02,0.052309,0.41133,0.96693,1.7243,23.028,5.6825,73.183,4.9875,5.1965,0.0
0.70909,0.25224,1.4046,40.457,0.0,0.092794,0.41026,2.3326,0.29091,0.092816,0.14884,0.042,0.092794,2641.8,0.13816,1.4103,0.092794,0.039781,0.0,0.0,0.08767,0.032125,0.092794,0.28383,0.11297,3917.6,2.0288,3.8488,0.22593,0.039791,101.36,3.601,3.1659,0.087671,2.3326,10.222,0.37657,0.037585,0.29292,0.25458,0.037585,108.45,108.45,0.0,1.4046,0.0,0.082495,0.035366,1.2349,0.62343,0.2777,2.3398,3.0288,1780.9,0.037585,0.25758,0.96031,0.29446,0.0,3.3657,97.552,3.7416,18.761,0.0
0.16646,0.68125,10.008,49.877,0.0,0.28493,5.0073,1.5395,0.83354,0.31598,3.7677,0.19211,0.28493,205.45,1.7766,6.0073,0.28493,0.18508,120.56,1.173,0.3028,0.14969,0.47973,0.72282,1.4493,9.7521,2.8021,4.0861,0.045501,0.18508,22.316,16.356,7.4306,0.30254,1.5395,2.7344,0.92438,0.19652,1.3132,0.017693,0.1967,155.91,35.346,0.4532,3.2845,150.05,0.29199,0.18967,4.5468,0.075624,0.061139,3.4284,3.8021,8306.8,0.19652,0.27647,0.81667,0.10898,3.0275,10.326,17.93,20.357,6.332,0.0
0.74359,0.062364,1.0847,-63.135,0.0,0.077712,0.34483,2.5485,0.25641,0.092911,0.10559,0.035693,0.077712,2983.7,0.12233,1.3448,0.077712,0.030493,69.473,1.309,0.085694,0.023075,0.14907,0.22555,0.096908,5.6379,0.30928,3.8686,0.26339,0.036114,108.02,3.379,3.3445,0.06157,2.5485,0.0,0.25641,0.024159,0.11337,0.2505,0.033625,102.39,32.918,0.12123,0.42566,71.193,0.072442,0.028425,1.0737,0.73599,0.29594,1.2716,1.2716,460.83,0.024159,0.22935,0.97004,0.0,5.2538,11.088,105.41,3.4627,12.639,0.0
0.65584,0.058349,1.1399,-33.985,0.0,0.22458,0.52475,2.1513,0.34416,0.25074,0.53863,0.12233,0.22458,909.65,0.40126,1.5248,0.22458,0.10439,40.058,1.4966,0.24018,0.081902,0.43792,0.15642,0.32748,9.1825,0.1112,3.9025,0.28402,0.11429,78.122,4.6722,2.9703,0.20323,2.1513,1.2357,0.53773,0.094468,0.11354,0.078424,0.11164,72.609,32.551,0.74627,0.57368,44.237,0.2016,0.093712,0.72471,0.41695,0.21403,0.65591,1.0248,466.21,0.094468,0.51197,0.898,0.56247,9.1117,11.213,70.742,5.1596,4.1001,0.0
0.13524,0.84035,7.2136,74.248,0.0,0.12752,6.3941,1.4737,0.86476,0.13051,0.94291,0.094981,0.12752,352.66,1.035,7.3941,0.12752,0.08653,140.09,0.0,0.1203,0.068785,0.12752,0.85081,0.84162,40.25,34.429,3.6037,-0.099375,0.08653,36.716,9.9411,9.9411,0.12927,1.4737,0.0,0.86476,0.087713,2.0829,0.033959,0.081629,171.86,31.769,0.17922,3.0313,153.56,0.10785,0.073179,7.2136,0.13524,0.10059,35.429,35.429,3374.0,0.087713,0.11722,0.91407,0.0,2.6055,11.489,33.496,10.897,60.378,0.0
0.25352,0.24321,2.0317,-46.94,0.0,0.007,2.9445,1.1323,0.74648,0.01769,0.029695,0.11024,0.007,741.35,0.49234,3.9445,0.007,0.006182,120.24,1.2208,0.017206,0.002558,0.016235,0.026821,0.47615,1.6096,0.46677,4.2997,0.22354,0.013279,76.576,4.7665,4.4322,0.008641,1.1323,6.7296,0.76222,0.007632,0.007446,0.062586,0.015196,153.83,33.584,0.007764,0.44939,121.17,-0.10061,-0.088857,1.8892,0.23574,0.2098,1.4327,1.4629,4849.6,0.007632,0.00388,0.99387,0.021089,3.0355,10.868,75.992,4.8031,2.1731,0.0
0.40835,0.35101,1.8596,15.003,0.0,0.67382,1.4489,5.0754,0.59165,0.67877,1.6501,0.1361,0.67382,215.78,1.6916,2.4489,0.67382,0.13276,11.888,0.0,0.67874,0.10622,0.67382,0.53963,1.3617,136.91,1.4587,3.0968,0.045575,0.13349,33.901,10.767,10.767,0.67874,5.0754,0.0,0.59165,0.13373,0.44136,0.019566,0.13373,41.649,29.761,3.2613,1.4548,13.723,0.66181,0.1304,1.8596,0.40835,0.092879,2.4587,2.4587,438.63,0.13373,0.9112,0.86724,0.0,30.703,12.264,29.367,12.429,21.091,0.0
0.27465,0.3555,2.2944,20.3,0.00071,0.51477,2.641,6.3705,0.72535,0.54416,1.8743,0.085562,0.51477,183.92,1.9846,3.641,0.51477,0.080805,1.3738,0.0,0.54133,0.063886,0.51477,0.67585,1.5922,18.417,0.96119,3.5842,0.029814,0.083391,17.249,21.16,21.16,0.55884,6.3705,0.0,0.72535,0.087723,0.32854,0.016015,0.084975,30.935,29.561,16.973,2.2071,1.5059,0.51103,0.080218,2.2944,0.27465,0.047259,1.9612,1.9612,1364.6,0.087723,0.56109,0.91923,0.0,265.68,12.347,15.736,23.195,17.224,0.0
0.24154,0.51471,3.1309,40.157,0.0,0.2246,3.1401,3.9332,0.75846,0.27394,0.92987,0.079123,0.2246,283.29,1.2884,4.1401,0.2246,0.057103,8.439,0.0,0.26675,0.042099,0.2246,0.38889,1.0441,5.4069,2.1116,3.5937,-0.03102,0.057103,24.049,15.177,15.177,0.2673,3.9332,0.0,0.75846,0.067959,1.6066,0.022785,0.06782,34.168,25.729,1.8209,2.7545,9.0543,0.18014,0.0458,3.1309,0.24154,0.065887,3.1116,3.1116,2019.4,0.067959,0.21832,0.94302,0.0,43.252,14.186,22.415,16.284,16.136,0.0
0.19966,0.33685,2.6871,19.42,0.27112,0.10561,3.2051,1.0612,0.63995,0.10561,0.52893,0.10971,0.10561,356.77,1.0231,5.0084,0.10561,0.056723,46.213,0.9255,0.10331,0.044591,0.3424,0.63995,0.90993,0.58881,0.72678,4.2962,0.052776,0.056723,41.537,8.7874,0.51742,0.10331,1.8678,0.0,0.63995,0.055487,0.56696,0.032502,0.055487,82.988,36.775,0.35219,1.5065,49.039,0.00465,0.002498,2.6871,0.19966,0.1138,1.3807,1.3807,6663.3,0.057637,0.12973,0.94236,0.0,7.8982,9.9253,39.142,9.3249,4.0171,0.0
0.083225,0.32853,5.0312,60.46,0.15963,0.14435,11.016,0.31481,0.91677,0.14435,1.7712,0.45927,0.14435,210.1,1.7372,12.016,0.14435,0.45851,25.218,4.609,0.062558,0.47224,0.17688,0.22492,1.7892,0.0,0.55685,5.6261,0.26437,0.45851,108.55,3.5529,3.4791,0.040788,0.31481,224.54,0.9185,0.12956,3.2001,0.044179,0.19872,173.02,147.8,6.835,4.7643,27.419,0.062321,0.19797,4.9267,0.081496,0.28146,1.5539,1.5568,5.0312,0.12956,0.16216,0.65066,0.001886,14.474,2.4695,94.489,3.8629,0.5336,0.0
0.82476,-0.02435,0.96835,-180.43,0.19472,0.084033,0.21248,1.0815,0.17524,0.084033,0.10924,0.11611,0.084033,2630.7,0.13875,1.2125,0.084033,0.085261,73.755,1.4325,0.072787,0.066057,0.24314,0.17524,0.1158,0.79867,-0.095462,6.2032,0.83648,0.085261,308.09,1.1847,0.088253,0.072787,1.0801,9.8363,0.23073,0.073851,0.28386,0.26278,0.073851,195.0,121.25,0.3269,0.70946,79.762,0.042387,0.043007,0.9032,0.76927,0.84409,0.68702,0.90454,-38883.0,0.075317,0.37151,0.92468,0.31661,4.9488,3.0104,284.89,1.2812,3.8638,0.0
1.7151,-0.56511,0.61695,-119.09,-0.91474,0.18853,-0.41694,3.2285,-0.71509,0.21155,0.12779,0.065241,0.18853,2972.0,0.12281,0.58306,0.18853,0.058394,43.338,1.0097,0.13233,0.058394,0.16945,-0.72621,0.12281,5.7481,-6.2903,3.6527,0.52594,0.065477,178.11,2.0493,1.7628,0.20522,3.2285,2.2036,-0.47601,0.063565,0.041626,0.37019,0.040986,95.955,52.618,0.49181,0.35711,46.279,0.11022,0.03414,0.53068,1.4753,0.48796,-7.9598,-5.2986,-2540.0,0.063564,-0.26364,0.94464,-0.33433,8.4223,6.9369,166.79,2.1884,35.937,0.0
0.59356,0.10308,1.1911,-21.886,0.0,0.074169,0.68474,3.1146,0.40644,0.074306,0.13749,0.090536,0.074169,768.31,0.47507,1.6847,0.074169,0.023813,30.077,0.85935,0.0,0.023813,0.24021,0.39416,0.47507,0.0,0.28834,5.1229,0.19051,0.052531,71.884,5.0776,4.6146,0.006225,3.1146,1579.3,0.40668,0.001999,0.000936,0.095207,0.0,75.236,45.16,0.28899,0.71531,34.201,-0.20782,-0.066723,1.0825,0.53943,0.19694,1.1369,1.1376,13678.0,0.12058,0.18249,0.88175,0.000601,12.136,8.0825,63.216,5.7739,8.7125,0.0
0.87445,0.081705,1.095,-77.795,0.0,0.038519,0.14357,1.9676,0.12555,0.041249,0.044793,0.027925,0.038519,5808.9,0.062834,1.1436,0.038519,0.019577,90.414,0.0,-0.020508,0.015436,0.038519,0.051194,0.053516,-7.5128,1.4004,3.9068,0.43802,0.020809,159.77,2.2845,2.2466,0.003018,1.9676,104.09,0.12991,0.001534,0.032448,-7.1399,-0.010423,169.51,79.092,0.062313,0.52824,90.553,-0.036935,-0.018771,1.0769,0.85995,0.43773,2.1519,2.2267,659.31,0.001534,0.2419,0.98109,0.034761,4.037,4.6148,159.53,2.288,33.724,0.0
0.85065,-0.071167,0.85732,-51.865,0.0,0.10723,0.17557,1.343,0.14935,0.11416,0.21498,0.11851,0.10723,1950.9,0.18709,1.1756,0.10723,0.079845,25.51,1.3803,0.083255,0.070258,0.10212,0.10311,0.17196,12.016,-0.12433,4.1546,0.62843,0.085004,144.88,2.5193,1.4772,0.086367,1.343,0.94854,0.50121,0.064311,0.030523,0.20977,0.061993,112.08,86.573,1.0053,0.66914,27.263,0.031335,0.023332,0.5027,0.49879,0.39693,0.26093,0.87567,-1015.9,0.064311,0.63177,0.90831,2.356,14.308,4.2161,135.56,2.6925,2.3463,0.0
0.39752,0.1177,1.2961,-2.012,-0.046121,0.01241,1.2963,1.0038,0.51529,0.01241,0.031218,0.04336,0.01241,1237.2,0.29503,2.5156,0.01241,0.004588,17.808,1.2137,0.010011,0.004049,-0.042939,0.51529,0.29136,0.037151,0.2428,3.5126,0.14445,0.004588,53.847,6.7785,0.025183,0.010011,2.7115,0.0,0.51529,0.003701,0.017649,0.11376,0.003701,68.581,50.773,0.08298,0.96412,17.876,-0.094859,-0.035071,1.2961,0.39752,0.14753,1.0629,1.0629,383.19,0.003767,0.021251,0.99623,0.0,20.496,7.1889,53.644,6.8041,5.5794,0.0
0.20781,0.28986,2.5248,-28.722,0.29546,0.18929,3.0927,1.2521,0.64271,0.18929,0.99572,0.26719,0.18929,344.72,1.0588,4.812,0.18929,0.22985,51.598,1.2135,0.18187,0.19202,0.35629,0.64271,0.9089,2.7652,0.55737,7.1811,0.21666,0.22985,105.49,3.4599,0.87516,0.18187,0.88188,20.522,0.66042,0.22085,1.3301,0.032133,0.22085,100.65,49.057,1.3583,1.9124,64.604,0.15112,0.18351,2.3096,0.1901,0.28903,1.2359,1.2699,4398400.0,0.20132,0.24604,0.79868,0.027563,7.074,7.4403,84.257,4.332,1.5835,0.0
0.58945,-0.21698,0.63189,-208.72,-0.073722,-0.011407,0.68672,0.96653,0.40479,-0.011407,-0.019352,0.09573,-0.011407,3258.5,0.11202,1.6965,-0.011407,-0.016539,80.19,1.0759,-0.027892,-0.024652,-0.068126,0.40479,0.10252,-0.39086,-0.34577,4.5048,0.62949,-0.016539,301.49,1.2106,-0.047319,-0.027892,0.71251,0.0,0.40479,-0.040439,0.26396,0.39116,-0.040439,114.77,34.58,-0.11221,0.37482,77.506,-0.10533,-0.15271,0.63189,0.58945,0.82601,0.64505,0.64505,-6937.3,-0.034628,-0.042005,1.0346,0.0,4.5517,10.555,311.93,1.1701,1.0991,0.0
0.62599,-0.031399,0.94984,-188.53,-0.063995,-0.078498,0.48383,0.9187,0.30287,-0.078498,-0.1254,-0.12069,-0.078498,-4023.8,-0.09071,1.5975,-0.078498,-0.16684,174.88,0.0,-0.077782,-0.13602,-0.078498,0.30287,-0.067542,-1.5188,-0.07745,5.0794,1.2365,-0.16684,446.15,0.81812,-0.12425,-0.077782,0.47485,0.0,0.30287,-0.16532,0.070669,-0.36707,-0.16532,426.95,252.07,-0.28389,0.58973,160.66,-0.099497,-0.21147,0.94984,0.62599,1.2223,0.74709,0.74709,-3770.0,-0.088492,-0.21129,1.0885,0.0,2.0872,1.448,485.63,0.75161,1.1606,0.0
